home_avgGoalsFor,home_avgGoalsAgainst,home_totalMatches,home_firstHalfAvgGoalsFor,home_firstHalfAvgGoalsAgainst,away_avgGoalsFor,away_avgGoalsAgainst,away_totalMatches,away_firstHalfAvgGoalsFor,away_firstHalfAvgGoalsAgainst,home_weighted_avgGoalsFor,home_weighted_avgGoalsAgainst,away_weighted_avgGoalsFor,away_weighted_avgGoalsAgainst,home_last8_avgGoalsFor,away_last8_avgGoalsFor,league_avgTotalGoals,league_avgHomeGoals,league_avgAwayGoals,goalsHome,goalsAway,totalGoals,firstHalfGoals,eventId,homeNick,awayNick
2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,2.557377049180328,2.7192622950819674,488,1.2459016393442623,1.3360655737704918,2.4829999999999997,2.4779999999999998,2.759,2.628,2.875,2.375,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,2,,BlueEyes,hakuna
3.391566265060241,1.9036144578313252,166,1.608433734939759,0.9156626506024096,2.265206812652068,2.6496350364963503,411,1.0608272506082725,1.2798053527980535,3.535,1.988,2.838,2.7329999999999997,4.5,3.0,5.11768154786833,2.592093140128989,2.525588407739342,4,2,6,3,,Kalibrikon,Decade
2.265206812652068,2.6496350364963503,411,1.0608272506082725,1.2798053527980535,2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,2.838,2.7329999999999997,2.4829999999999997,2.4779999999999998,3.0,2.875,5.11768154786833,2.592093140128989,2.525588407739342,4,2,6,4,,Decade,BlueEyes
2.557377049180328,2.7192622950819674,488,1.2459016393442623,1.3360655737704918,2.6355555555555554,2.7466666666666666,450,1.268888888888889,1.3666666666666667,2.759,2.628,2.282,3.1009999999999995,2.375,2.5,5.11768154786833,2.592093140128989,2.525588407739342,3,1,4,1,,hakuna,Hristian05
2.6355555555555554,2.7466666666666666,450,1.268888888888889,1.3666666666666667,2.265206812652068,2.6496350364963503,411,1.0608272506082725,1.2798053527980535,2.282,3.1009999999999995,2.838,2.7329999999999997,2.5,3.0,5.11768154786833,2.592093140128989,2.525588407739342,2,1,3,1,,Hristian05,Decade
2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,3.391566265060241,1.9036144578313252,166,1.608433734939759,0.9156626506024096,2.4829999999999997,2.4779999999999998,3.535,1.988,2.875,4.5,5.11768154786833,2.592093140128989,2.525588407739342,3,7,10,3,,BlueEyes,Kalibrikon
3.391566265060241,1.9036144578313252,166,1.608433734939759,0.9156626506024096,2.6355555555555554,2.7466666666666666,450,1.268888888888889,1.3666666666666667,3.535,1.988,2.282,3.1009999999999995,4.5,2.5,5.11768154786833,2.592093140128989,2.525588407739342,3,0,3,1,,Kalibrikon,Hristian05
2.265206812652068,2.6496350364963503,411,1.0608272506082725,1.2798053527980535,2.557377049180328,2.7192622950819674,488,1.2459016393442623,1.3360655737704918,2.838,2.7329999999999997,2.759,2.628,3.0,2.375,5.11768154786833,2.592093140128989,2.525588407739342,1,2,3,2,,Decade,hakuna
3.391566265060241,1.9036144578313252,166,1.608433734939759,0.9156626506024096,2.557377049180328,2.7192622950819674,488,1.2459016393442623,1.3360655737704918,3.535,1.988,2.759,2.628,4.5,2.375,5.11768154786833,2.592093140128989,2.525588407739342,7,2,9,6,,Kalibrikon,hakuna
2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,2.6355555555555554,2.7466666666666666,450,1.268888888888889,1.3666666666666667,2.4829999999999997,2.4779999999999998,2.282,3.1009999999999995,2.875,2.5,5.11768154786833,2.592093140128989,2.525588407739342,2,3,5,3,,BlueEyes,Hristian05
2.557377049180328,2.7192622950819674,488,1.2459016393442623,1.3360655737704918,2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,2.759,2.628,2.4829999999999997,2.4779999999999998,2.375,2.875,5.11768154786833,2.592093140128989,2.525588407739342,5,1,6,3,,hakuna,BlueEyes
2.265206812652068,2.6496350364963503,411,1.0608272506082725,1.2798053527980535,3.391566265060241,1.9036144578313252,166,1.608433734939759,0.9156626506024096,2.838,2.7329999999999997,3.535,1.988,3.0,4.5,5.11768154786833,2.592093140128989,2.525588407739342,1,3,4,2,,Decade,Kalibrikon
2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,2.265206812652068,2.6496350364963503,411,1.0608272506082725,1.2798053527980535,2.4829999999999997,2.4779999999999998,2.838,2.7329999999999997,2.875,3.0,5.11768154786833,2.592093140128989,2.525588407739342,5,1,6,4,,BlueEyes,Decade
2.6355555555555554,2.7466666666666666,450,1.268888888888889,1.3666666666666667,2.557377049180328,2.7192622950819674,488,1.2459016393442623,1.3360655737704918,2.282,3.1009999999999995,2.759,2.628,2.5,2.375,5.11768154786833,2.592093140128989,2.525588407739342,1,4,5,4,,Hristian05,hakuna
2.265206812652068,2.6496350364963503,411,1.0608272506082725,1.2798053527980535,2.6355555555555554,2.7466666666666666,450,1.268888888888889,1.3666666666666667,2.838,2.7329999999999997,2.282,3.1009999999999995,3.0,2.5,5.11768154786833,2.592093140128989,2.525588407739342,3,5,8,4,,Decade,Hristian05
3.391566265060241,1.9036144578313252,166,1.608433734939759,0.9156626506024096,2.390697674418605,2.2116279069767444,430,1.1837209302325582,1.0953488372093023,3.535,1.988,2.4829999999999997,2.4779999999999998,4.5,2.875,5.11768154786833,2.592093140128989,2.525588407739342,1,2,3,2,,Kalibrikon,BlueEyes
